CustomerId,TransactionStartTime,Value,Amount,TransactionId,BatchId,SubscriptionId,CurrencyCode,CountryCode,ProviderId,ProductId,ProductCategory,ChannelId,TransactionStatus,IssuedDateLoan,AmountLoan,Currency,LoanId,PaidOnDate,IsFinalPayBack,InvestorId,DueDate,LoanApplicationId,PayBackId,ThirdPartyId,IsThirdPartyConfirmed,IsDefaulted
CustomerId_27,21/09/2018 12:17,550,-550,TransactionId_1683,BatchId_641,SubscriptionId_2,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,25/09/2018 09:20,550,-550,TransactionId_2235,BatchId_820,SubscriptionId_2,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,25/09/2018 10:33,550,-550,TransactionId_1053,BatchId_210,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,27/09/2018 10:26,1000,-1000,TransactionId_2633,BatchId_876,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,27/09/2018 12:44,500,-500,TransactionId_71,BatchId_1362,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,28/09/2018 12:40,500,-500,TransactionId_930,BatchId_357,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,03/10/2018 09:34,500,-500,TransactionId_1381,BatchId_8,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,17/10/2018 09:06,1235,-1235,TransactionId_255,BatchId_1082,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_27,17/10/2018 12:02,1235,-1235,TransactionId_543,BatchId_1195,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_258,18/10/2018 16:11,10000,-10000,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,18/10/2018 16:11,10016,UGX,LoanId_62,22/10/2018 09:13,1,InvestorId_3,17/11/2018 16:11,NA,PayBackId_1791,ThirdPartyId_648,0,0
CustomerId_258,18/10/2018 16:11,10000,-10000,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,18/10/2018 16:11,584,UGX,LoanId_62,23/10/2018 07:34,1,InvestorId_3,17/11/2018 16:11,NA,PayBackId_1067,ThirdPartyId_68,0,0
CustomerId_258,18/10/2018 16:11,10000,-10000,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,18/10/2018 16:11,100,UGX,LoanId_62,25/10/2018 08:58,1,InvestorId_3,17/11/2018 16:11,NA,PayBackId_928,ThirdPartyId_1883,0,0
CustomerId_27,19/10/2018 09:51,1030,-1030,TransactionId_379,BatchId_2253,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_233,19/10/2018 10:18,5150,-5150,TransactionId_1598,BatchId_1458,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,19/10/2018 10:18,5614,UGX,LoanId_22,30/10/2018 06:50,1,InvestorId_3,18/11/2018 10:16,NA,PayBackId_647,ThirdPartyId_1484,0,0
CustomerId_233,19/10/2018 11:01,515,-515,TransactionId_2115,BatchId_1672,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,19/10/2018 11:01,544,UGX,LoanId_368,22/10/2018 16:11,1,InvestorId_3,18/11/2018 11:00,NA,PayBackId_1267,ThirdPartyId_949,0,0
CustomerId_233,22/10/2018 16:04,5000,-5000,TransactionId_2632,BatchId_775,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,22/10/2018 16:04,5375,UGX,LoanId_317,30/10/2018 06:49,1,InvestorId_3,21/11/2018 16:03,LoanApplicationId_1629,PayBackId_1719,ThirdPartyId_1010,0,0
CustomerId_27,22/10/2018 17:24,1000,-1000,TransactionId_2209,BatchId_2078,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_305,23/10/2018 13:12,500,-500,TransactionId_1297,BatchId_2016,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,23/10/2018 13:12,543,UGX,LoanId_1619,23/10/2018 13:18,1,InvestorId_2,22/11/2018 13:12,LoanApplicationId_136,PayBackId_725,ThirdPartyId_1566,0,0
CustomerId_27,23/10/2018 15:20,1000,-1000,TransactionId_1367,BatchId_1675,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,23/10/2018 15:20,1085,UGX,LoanId_1438,23/10/2018 15:26,1,InvestorId_2,22/11/2018 15:20,LoanApplicationId_1171,PayBackId_1085,ThirdPartyId_1265,0,0
CustomerId_27,23/10/2018 15:31,500,-500,TransactionId_871,BatchId_2449,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,24/10/2018 06:34,543,UGX,LoanId_1304,24/10/2018 06:38,1,InvestorId_2,23/11/2018 06:33,LoanApplicationId_702,PayBackId_763,ThirdPartyId_1962,0,0
CustomerId_27,24/10/2018 06:56,500,-500,TransactionId_1019,BatchId_1564,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_4,data_bundles,ChannelId_1,1,24/10/2018 06:56,543,UGX,LoanId_1436,24/10/2018 07:01,1,InvestorId_2,23/11/2018 06:55,LoanApplicationId_508,PayBackId_1228,ThirdPartyId_2008,0,0
CustomerId_27,24/10/2018 09:14,500,-500,TransactionId_749,BatchId_86,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_8,data_bundles,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CustomerId_233,24/10/2018 11:37,500,-500,TransactionId_2,BatchId_1854,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,24/10/2018 11:37,520,UGX,LoanId_1435,24/10/2018 11:40,1,InvestorId_2,23/11/2018 11:37,LoanApplicationId_1546,PayBackId_1842,ThirdPartyId_679,0,0
CustomerId_233,24/10/2018 15:28,1000,-1000,TransactionId_1995,BatchId_2068,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,24/10/2018 15:28,1065,UGX,LoanId_183,30/10/2018 06:49,1,InvestorId_2,23/11/2018 15:28,LoanApplicationId_376,PayBackId_982,ThirdPartyId_1147,0,0
CustomerId_474,25/10/2018 10:36,500,-500,TransactionId_2181,BatchId_1540,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,25/10/2018 10:36,520,UGX,LoanId_1522,25/10/2018 14:56,1,InvestorId_2,24/11/2018 10:36,LoanApplicationId_1247,PayBackId_317,ThirdPartyId_1152,0,0
CustomerId_432,26/10/2018 06:36,2000,-2000,TransactionId_482,BatchId_2514,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
